Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Subject,Highest education level completed,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6376a4f922d513e38384c6da,60db7b5d510bd0a73fbbf46f,APPROVED,2022-11-17T21:17:54.508000Z,2022-11-17T21:19:47.740000Z,2022-11-18T22:09:51.721000,2022-11-17T21:19:48.048980Z,114,CUJVCRTW,127,"Spanish, English, Japanese",Computer Science,Graduate degree (MA/MSc/MPhil/other),21,Male,White,Mexico,Mexico,Mexico,Spanish,Yes,Part-Time
6376a5175ce2b30edb7a924e,5f80b75d46ee0012d2634d26,APPROVED,2022-11-17T21:18:15.482000Z,2022-11-17T21:50:24.017000Z,2022-11-18T22:09:51.811000,2022-11-17T21:50:24.399087Z,1929,CUJVCRTW,280,"Spanish, English",Computer Science,Undergraduate degree (BA/BSc/other),24,Male,Mixed,Mexico,Mexico,Mexico,Spanish,Yes,DATA_EXPIRED
6376a55d090b0e8a3f8b31b0,60c7375cba154e330acc1f70,APPROVED,2022-11-17T21:21:40.124000Z,2022-11-17T21:25:04.171000Z,2022-11-18T22:09:51.897000,2022-11-17T21:25:04.531156Z,205,CUJVCRTW,132,English,"Computer Science, Computing (IT), Economics, Psychology",Undergraduate degree (BA/BSc/other),23,Female,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
6376a574f58366a9b6c82ef8,613ad9f6446b3062b94e793c,APPROVED,2022-11-17T21:23:51.883000Z,2022-11-17T21:36:10.607000Z,2022-11-18T22:09:51.981000,2022-11-17T21:36:10.977810Z,739,CUJVCRTW,121,"Spanish, English, German, Italian","Computing (IT), Engineering",Undergraduate degree (BA/BSc/other),29,Male,Mixed,Mexico,Mexico,Mexico,Spanish,Yes,Part-Time
6376a59376cbb0ae4a84c6ca,5f80a6f92dac9e105a84b405,APPROVED,2022-11-17T21:20:19.944000Z,2022-11-17T21:48:47.518000Z,2022-11-18T22:09:52.071000,2022-11-17T21:48:47.902461Z,1708,CUJVCRTW,175,"English, Spanish",Mathematics,Undergraduate degree (BA/BSc/other),23,Male,Other,Mexico,Mexico,Mexico,Spanish,Yes,Full-Time
6376a5a55addeca6186aec64,5fa472cf29a8e70f22c5d521,RETURNED,2022-11-17T21:20:37.525000Z,2022-11-17T21:25:53.208000Z,,2022-11-17T21:25:53.757000Z,,CUJVCRTW,244,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6376a5a8414c18fd8a315933,6078d04aed0bb1f27032d38c,APPROVED,2022-11-17T21:20:40.746000Z,2022-11-17T21:28:18.300000Z,2022-11-18T22:09:52.158000,2022-11-17T21:28:18.706507Z,458,CUJVCRTW,16,"English, Portuguese","Engineering, Computer Science",Graduate degree (MA/MSc/MPhil/other),24,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Due to start a new job within the next month
6376a5b5a9e7f0818f7b2236,5ea8010daf54da1e951b8861,APPROVED,2022-11-17T21:20:53.480000Z,2022-11-17T21:37:01.885000Z,2022-11-18T22:09:52.244000,2022-11-17T21:37:02.226988Z,969,CUJVCRTW,470,"Polish, English","Computing (IT), English Language",Undergraduate degree (BA/BSc/other),21,Male,White,Poland,Poland,Poland,Polish,Yes,Full-Time
6376a5c0a9c29d2082d24750,5faa77a894b02a3893aba0f3,APPROVED,2022-11-17T21:21:04.544000Z,2022-11-17T21:24:22.186000Z,2022-11-18T22:09:52.333000,2022-11-17T21:24:22.586117Z,198,CUJVCRTW,73,"English, Hungarian, French",Computer Science,Undergraduate degree (BA/BSc/other),25,Female,White,Hungary,Hungary,Hungary,Hungarian,Yes,Other
6376a5f8611abca34d5376c3,60b7b8126c0c4524e913236e,APPROVED,2022-11-17T21:22:00.186000Z,2022-11-17T21:34:46.378000Z,2022-11-18T22:09:52.421000,2022-11-17T21:34:47.104228Z,767,CUJVCRTW,411,"Portuguese, English","Computer Science, Computing (IT)",Graduate degree (MA/MSc/MPhil/other),22,Male,White,United States,Portugal,United States,Portuguese,Yes,Full-Time
